---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
1911,200,800,50,25,10,100,50,0,0.8,2250,3000
57,500,300,30,35,100,100,75,0,0.85,2500,3000
sock,650,600,35,30,10,50,50,0,0.85,1250,2000
m9,250,400,20,45,10,50,50,0,0.85,1500,2000
de,800,600,100,50,100,100,100,0,0.85,2500,3500
revolver,800,600,100,75,100,100,100,0,0.68,1000,3500
cet9,650,500,35,25,50,80,50,0,0.8,2250,3000
smg,1200,800,30,25,10,100,50,0,0.8,2250,3000
uzi,950,600,25,20,10,50,25,0,0.85,1250,2000
ak,1400,600,35,35,60,100,50,0,0.85,2000,3000
mp5,1600,400,30,30,10,25,25,0,0.85,1500,2500
p90,1900,300,35,20,10,25,75,0,0.8,1500,2500
vanas,2300,200,30,45,60,50,75,0,0.75,1000,3500
kross,1750,100,30,20,10,25,25,0,.8,1500,2500
ar9,1600,400,25,35,10,100,50,0,0.8,2000,3000
shotgun,1500,600,25,15,10,25,0,0,0.67,750,1500
sawedoff,1000,600,60,25,10,50,10,0,0.33,250,500
drumshotgun,4200,120,15,15,10,25,10,0,0.67,500,1100
autoshotgun,1800,200,35,15,10,25,10,0,0.67,500,1000
ak47,2500,300,35,60,100,100,100,0,1,500,4000
ak12,2600,300,45,45,100,100,74,0,1,500,4000
ar,2700,300,35,45,100,100,75,0,1,500,4000
aug,2300,300,40,45,100,100,75,0,1,500,4000
galul,2300,300,35,45,100,100,75,0,1,500,4000
m16,2300,300,40,45,100,100,75,0,1,500,4000
sks,2500,100,55,60,100,100,100,0,1,500,4000
akshorty,1800,400,35,25,10,100,50,0,1,500,4000
vzz,2200,400,40,30,10,25,25,0,1,500,4000
lmga,3000,100,25,60,100,100,75,0,1,500,4000
awp,2200,0,200,50,65,100,100,0,1,500,4000
autosniper,3500,500,35,60,100,100,100,0,1,500,4000
antitank,4800,0,200,100,100,100,100,0,1,500,4000
scur,3500,100,55,60,100,100,100,0,1,500,4000
luger,600,400,35,30,10,50,75,0,1,500,4000
tokarev,300,800,30,25,10,100,50,0,1,500,4000
webley,800,600,100,75,100,100,100,0,1,500,4000
sten,1400,400,30,30,10,25,25,0,1,500,4000
mp40,1700,400,30,30,10,25,25,0,1,500,4000
thompson,1600,400,30,30,10,25,25,0,1,500,4000
stg44,2700,300,30,40,100,100,75,0,1,500,4000
ppsh,1750,100,35,20,10,25,25,0,.8,1500,2500
m1garand,2400,400,55,60,100,100,100,0,1,500,4000
g43,3500,100,55,60,100,100,100,0,1,500,4000
svt40,3500,400,55,60,100,100,100,0,1,500,4000
mosin,1600,800,100,60,100,100,100,0,1,500,4000
springfield,1600,800,100,60,100,100,100,0,1,500,4000
kar98,1600,800,80,60,100,100,100,0,1,500,4000
leeenfield,1600,800,100,60,100,100,100,0,1,500,4000
bar,3000,100,40,60,100,100,75,0,1,500,4000
bren,3000,100,40,60,100,100,75,0,1,500,4000
dp27,3200,100,40,60,100,100,75,0,1,500,4000
mg42,3500,100,40,60,100,100,75,0,1,500,4000
rl_m1a1,4300,150,100,100,100,100,100,0,1,500,4000
rl_piat,4000,150,100,100,100,100,100,0,1,500,4000
rl_panzer,4500,150,100,100,100,100,100,0,1,500,4000
rl_rpg,4200,150,100,100,100,100,100,0,1,500,4000
smoke,300,0,0,0,0,0,0,0,1,500,4000
smoke_ru,300,0,0,0,0,0,0,0,1,500,4000
flash,200,1200,0,0,0,0,0,0,1,500,4000
flash_ru,200,1200,0,0,0,0,0,0,1,500,4000
grenade_us,600,0,0,80,90,0,0,0,1,500,4000
smoke_us,300,0,0,0,0,0,0,0,1,500,4000
grenade_ger,600,0,0,80,90,0,100,0,1,500,4000
smoke_ger,300,0,0,0,0,0,0,0,1,500,4000
grenade_svt,600,0,0,80,90,0,0,0,1,500,4000
smoke_svt,300,0,0,0,0,0,0,0,1,500,4000
grenade,600,0,0,80,90,0,0,0,1,500,4000
grenade_ru,600,0,0,80,90,0,0,0,1,500,4000
armour,650,0,50,10,0,0,75,0,1,500,4000
kevlarhelmet,1000,0,50,10,0,0,75,0,1,500,4000
supp_pistol,250,-50,0,0,0,0,0,0,1,500,4000
supp_rifle,500,-200,0,0,0,0,0,0,1,500,4000
scope,400,0,0,0,0,0,0,0,1,500,4000
grip_angled,300,-100,0,0,0,0,0,0,1,500,4000
grip_vertical,300,-150,0,0,0,0,0,0,1,500,4000
flashlight_rifle,400,-100,0,0,0,0,0,0,1,500,4000
laser_rifle,500,-100,0,0,0,0,0,0,1,500,4000
laser_pistol,400,-100,0,0,0,0,0,0,1,500,4000
acog,400,-50,0,0,0,0,0,0,1,500,4000
holo,500,-150,0,0,0,0,0,0,1,500,4000
reddot,500,-150,0,0,0,0,0,0,1,500,4000
painkillers,500,0,0,0,0,0,0,0,1,500,4000
knife,100,1200,0,0,0,0,0,0,1,500,4000
taser,500,500,90,10,0,0,0,0,1,500,4000
newtonlauncher,1600,0,30,0,0,0,100,0,1,500,4000
tttknife,100,0,50,10,0,0,75,0,1,500,4000
healthstation,1000,0,50,10,0,0,75,0,1,500,4000
monocular,500,0,50,10,0,0,75,0,1,500,4000
teleporter,1000,0,50,10,0,0,75,0,1,500,4000
ballisticsshield,1200,0,50,10,0,0,75,0,1,500,4000
flaregun,600,0,50,0,0,0,1,0,1,500,4000
dnascanner,500,0,50,10,0,0,75,0,1,500,4000
silentcet9,650,500,35,25,50,80,50,0,1,500,4000
detectivesmg,2200,0,30,30,10,100,25,0,1,500,4000
tttc4,4000,0,50,10,100,0,75,0,1,500,4000
goldengun,3500,0,500,200,100,100,100,0,1,500,4000
grenade_dis,500,0,50,10,0,0,75,0,1,500,4000
trenchgun,1500,600,35,15,10,25,0,0,0.67,750,1500
tranqgun,2000,0,17,0,0,10,1,0,1,500,4000
hunting,1600,800,100,60,100,100,100,0,1,500,4000
ak47_cm,1500,300,35,60,100,100,100,0,1,500,4000
ak47gp25_cm,1500,300,35,60,100,100,100,0,1,500,4000
ak74m,1500,300,35,60,100,100,100,0,1,500,4000
ak74m_gp25,1500,300,35,60,100,100,100,0,1,500,4000
aks74u,1500,600,30,35,60,100,50,0,1,500,4000
m110,1500,100,55,60,100,100,100,0,1,500,4000
m110_tan,1500,100,55,60,100,100,100,0,1,500,4000
m16a3,1500,300,30,45,100,100,75,0,1,500,4000
m16a3m203,1500,300,30,45,100,100,75,0,1,500,4000
m16a4,1500,300,30,45,100,100,75,0,1,500,4000
m16a4m203,1500,300,30,45,100,100,75,0,1,500,4000
m17,1500,400,30,30,10,50,50,0,1,500,4000
m24sws,1500,500,100,60,100,100,100,0,1,500,4000
m4a1,1500,300,30,45,100,100,75,0,1,500,4000
m4a1m203,1500,300,30,45,100,100,75,0,1,500,4000
m9a1,1500,400,30,30,10,50,50,0,1,500,4000
mp443,1500,400,30,30,10,50,50,0,1,500,4000
sks_cm,1500,100,55,60,100,100,100,0,1,500,4000
sv98,1500,0,200,50,65,100,100,0,1,500,4000
svd,1500,100,55,60,100,100,100,0,1,500,4000
svdm,1500,100,55,60,100,100,100,0,1,500,4000
m14,1500,100,55,60,100,100,100,0,1,500,4000
m14_20,1500,100,55,60,100,100,100,0,1,500,4000
m16a1,1500,300,40,45,100,100,75,0,1,500,4000
m16a1m203,1500,300,40,45,100,100,75,0,1,500,4000
m60,1500,100,30,40,100,100,85,0,1,500,4000
m79,1500,100,200,100,100,100,100,0,1,500,4000
fg42e,1500,100,35,60,100,100,100,0,1,500,4000
hdm,1500,800,30,20,10,50,75,0,1,500,4000
hdm_high,1500,600,50,35,100,100,75,0,1,500,4000
m1919a6,1500,100,35,40,100,100,75,0,1,500,4000
m1a1thompson,1500,400,25,30,10,25,25,0,1,500,4000
m1carbine,1500,200,35,45,100,100,100,0,1,500,4000
m3a1,1500,400,25,30,10,25,25,0,1,500,4000
p38,1500,400,30,40,10,50,75,0,1,500,4000
ptrd41,1500,0,200,100,100,100,100,0,1,500,4000
welrod,1500,800,30,20,10,50,75,0,1,500,4000
welrod_high,1500,600,55,35,100,100,75,0,1,500,4000
